,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
1474,LCK,2019-2,2.1,3,43628.32099537037,9.11,Blue,Griffin,1.0,0.0,0.0,0.0,36996.0,915.576840600429,31.22230164403145
1475,LCK,2019-2,2.1,3,43628.32099537037,9.11,Red,Sandbox Gaming,2.0,0.0,1.0,1.0,46389.0,1318.4217298070052,33.70979270907792
1486,LCK,2019-2,2.2,1,43629.03729166667,9.11,Blue,Gen.G,4.0,0.0,0.0,0.0,60167.0,1278.32154340836,37.49196141479099
1487,LCK,2019-2,2.2,1,43629.03729166667,9.11,Red,Jin Air Green Wings,0.0,0.0,1.0,0.0,48929.0,916.9710610932476,34.37299035369775
1498,LCK,2019-2,2.2,2,43629.16289351852,9.11,Blue,Jin Air Green Wings,0.0,0.0,1.0,0.0,54442.0,1010.7522935779816,30.152905198776757
1499,LCK,2019-2,2.2,2,43629.16289351852,9.11,Red,Gen.G,4.0,0.0,0.0,2.0,67724.0,1416.9296636085624,37.55351681957186
1510,LCK,2019-2,2.2,1,43629.20506944445,9.11,Blue,Kingzone DragonX,4.0,0.0,1.0,1.0,67053.0,1247.6035865974516,34.88437942425672
1511,LCK,2019-2,2.2,1,43629.20506944445,9.11,Red,SK Telecom T1,2.0,0.0,0.0,0.0,59743.0,1040.619159981123,34.289759320434165
1522,LCK,2019-2,2.2,2,43629.28633101852,9.11,Blue,SK Telecom T1,3.0,0.0,1.0,0.0,61759.0,1265.1295336787568,36.77720207253886
1523,LCK,2019-2,2.2,2,43629.28633101852,9.11,Red,Kingzone DragonX,1.0,0.0,0.0,1.0,53971.0,1023.015544041451,35.03626943005182
1534,LCK,2019-2,2.2,3,43629.32252314815,9.11,Blue,Kingzone DragonX,3.0,0.0,1.0,1.0,58345.0,1270.1696035242294,37.863436123348016
1535,LCK,2019-2,2.2,3,43629.32252314815,9.11,Red,SK Telecom T1,0.0,0.0,0.0,0.0,45876.0,858.1982378854626,34.06387665198238
1546,LCK,2019-2,2.3,1,43630.02980324074,9.11,Blue,KT Rolster,5.0,1.0,1.0,1.0,72439.0,1273.7408226448474,32.428129146395406
1547,LCK,2019-2,2.3,1,43630.02980324074,9.11,Red,Damwon Gaming,1.0,0.0,0.0,0.0,63110.0,1026.1777974347635,32.98540468819107
1558,LCK,2019-2,2.3,2,43630.162256944444,9.11,Blue,Damwon Gaming,3.0,0.0,0.0,1.0,54880.0,1391.8202247191011,34.8689138576779
1559,LCK,2019-2,2.3,2,43630.162256944444,9.11,Red,KT Rolster,0.0,0.0,1.0,0.0,39185.0,803.9925093632959,28.764044943820224
1570,LCK,2019-2,2.3,3,43630.19739583333,9.11,Blue,KT Rolster,0.0,0.0,0.0,0.0,58496.0,1058.1169590643274,31.637426900584792
1571,LCK,2019-2,2.3,3,43630.19739583333,9.11,Red,Damwon Gaming,4.0,0.0,1.0,2.0,70573.0,1411.2456140350876,31.257309941520468
1582,LCK,2019-2,2.3,1,43630.237974537034,9.11,Blue,Griffin,3.0,0.0,0.0,0.0,54796.0,1388.6741573033707,38.38951310861423
1583,LCK,2019-2,2.3,1,43630.237974537034,9.11,Red,Hanwha Life Esports,1.0,0.0,1.0,0.0,40674.0,859.7602996254681,31.198501872659175
1594,LCK,2019-2,2.3,2,43630.30045138889,9.11,Blue,Hanwha Life Esports,1.0,0.0,0.0,0.0,42307.0,870.0398310199156,31.068195534097768
1595,LCK,2019-2,2.3,2,43630.30045138889,9.11,Red,Griffin,3.0,0.0,1.0,1.0,57905.0,1434.8436934218464,35.92033796016898
1606,LCK,2019-2,2.4,1,43631.05181712963,9.11,Blue,Afreeca Freecs,1.0,0.0,0.0,0.0,51324.0,1014.9055374592833,30.195439739413683
